Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;Field Position;Player on C1;Type of service;Zona de C1;Tipo de recepcion;Game Phase;Rally Outcome;Rest Time;Reves;Barrido Fuerte;Match Duration
Clara Azurmendi;"-15;-6 (1)";12;8;4;440440;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Defence;;;;;
Line Kjaersfeldt;"13;6 (1)";12;9;4;444680;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Defence;;;;;
Clara Azurmendi;"16;1 (1)";12;10;4;445800;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;NET;;;;;Construccion;Error Line Kjaersfeldt;;;;
Clara Azurmendi;Rest Time (12);12;;;448400;18520;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (13);13;;;466920;4640;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Clara Azurmendi;"2;-25 (2)";13;1;6;464920;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Clara Azurmendi;Backhand short service;7;;Construccion;;;;;
Line Kjaersfeldt;"-10;20 (1)";13;2;5;465880;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;Finta;Construccion;;;;;
Clara Azurmendi;"-12;-9 (1)";13;3;4;465880;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Construccion;;;;;
Line Kjaersfeldt;"15;56 (1)";13;4;12;465880;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Defence;;;;F;
Clara Azurmendi;"13;-37 (1)";13;5;5;468520;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;5;;;;;Construccion;;;;;
Line Kjaersfeldt;"-13;1 (1)";13;6;1;468520;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;NET;;;;;Construccion;Unforced Clara Azurmendi;;;;
Line Kjaersfeldt;Rest Time (13);13;;;471560;17960;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (14);14;;;489520;21240;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"2;24 (4)";14;1;7;487520;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Line Kjaersfeldt;Backhand flick;10;;Construccion;;;;;
Clara Azurmendi;"-9;-55 (1)";14;2;12;488800;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Line Kjaersfeldt;"4;8 (1)";14;3;3;488800;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;3;;;;;Construccion;;;;;
Clara Azurmendi;"-12;-14 (2)";14;4;4;488800;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Defence;;;;;
Line Kjaersfeldt;"14;55 (2)";14;5;12;490800;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Defence;;;;;
Clara Azurmendi;"-14;-16 (1)";14;6;4;492160;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Defence;;;;;
Line Kjaersfeldt;"-14;7 (1)";14;7;1;493160;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Construccion;;;;;
Clara Azurmendi;"-14;-55 (4)";14;8;12;493160;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Defence;;;;;
Line Kjaersfeldt;"14;8 (1)";14;9;4;495160;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Defence;;;;;
Clara Azurmendi;"14;-55 (1)";14;10;9;496600;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Defence;;;Reves;;
Line Kjaersfeldt;"13;55 (1)";14;11;12;497680;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Clara Azurmendi;"-15;-55 (1)";14;12;12;497680;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Line Kjaersfeldt;"-14;55 (1)";14;13;9;497680;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Defence;;;;;
Clara Azurmendi;"-13;-15 (1)";14;14;4;501080;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Construccion;;;;;
Line Kjaersfeldt;"14;56 (2)";14;15;12;501080;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Clara Azurmendi;"15;-55 (3)";14;16;9;501080;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Construccion;;;;;
Line Kjaersfeldt;"15;55 (1)";14;17;12;501080;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Clara Azurmendi;"14;-55 (2)";14;18;9;501080;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Construccion;;;;;
Line Kjaersfeldt;"-12;11 (1)";14;19;1;501080;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Construccion;;;;;
Clara Azurmendi;"-18;-8 (1)";14;20;Out;501080;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;OUT SIDE;;;;;Construccion;Unforced Line Kjaersfeldt;;;;
Clara Azurmendi;Rest Time (14);14;;;510760;25080;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (15);15;;;535840;4360;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Clara Azurmendi;"-2;-25 (2)";15;1;7;533840;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Clara Azurmendi;Backhand short service;8;;Construccion;;;;;
Line Kjaersfeldt;"14;20 (1)";15;2;8;534720;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Construccion;;;;;
Clara Azurmendi;"13;-9 (1)";15;3;1;534720;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Line Kjaersfeldt;"-12;55 (1)";15;4;9;536400;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Attack;;;;;
Clara Azurmendi;"3;-42 (1)";15;5;6;537240;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;;;;;Construccion;Winner Line Kjaersfeldt;;;;
Line Kjaersfeldt;Rest Time (15);15;;;540200;20320;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (16);16;;;560520;3160;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"-2;23 (2)";16;1;6;558520;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Line Kjaersfeldt;Backhand short service;6;;Construccion;;;;;
Clara Azurmendi;"5;-19 (1)";16;2;2;559520;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;2;;;;Finta;Construccion;;;;;
Line Kjaersfeldt;"11;54 (1)";16;3;12;559560;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Defence;;;;F;
Clara Azurmendi;"3;-37 (1)";16;4;6;560360;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;;;;;Attack;;;;;
Line Kjaersfeldt;"3;35 (1)";16;5;7;560800;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;;;;;Defence;;;;;
Clara Azurmendi;"-3;1 (1)";16;6;2;561040;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;NET;;;;;Construccion;Error Line Kjaersfeldt;;;;
Clara Azurmendi;Rest Time (16);16;;;563680;16960;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (17);17;;;580640;4960;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Clara Azurmendi;"2;-25 (3)";17;1;6;578640;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Clara Azurmendi;Backhand short service;5;;Construccion;;;;;
Line Kjaersfeldt;"-3;17 (1)";17;2;2;579560;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;2;;;;;Construccion;;;;;
Clara Azurmendi;"-11;-8 (1)";17;3;4;579560;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Defence;;;;;
Line Kjaersfeldt;"-13;5 (1)";17;4;1;580880;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Attack;;;;;
Clara Azurmendi;"2;-39 (1)";17;5;6;581400;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;;;;;Defence;;;;;
Line Kjaersfeldt;"2;5 (1)";17;6;3;581960;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;3;;;;;Attack;;;;;
Clara Azurmendi;"-4;-42 (1)";17;7;7;582440;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;;;;;Defence;;;;;
Line Kjaersfeldt;"1;1 (1)";17;8;3;582800;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;NET;;;;;Construccion;Error Clara Azurmendi;;;;
Line Kjaersfeldt;Rest Time (17);17;;;585600;19280;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (18);18;;;604880;5680;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"2;24 (5)";18;1;7;602880;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Line Kjaersfeldt;Backhand short service;5;;Construccion;;;;;
Clara Azurmendi;"-2;-18 (1)";18;2;3;603960;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;3;;;;;Construccion;;;;;
Line Kjaersfeldt;"-14;55 (2)";18;3;9;603960;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Defence;;;Reves;F;
Clara Azurmendi;"-13;-39 (1)";18;4;8;605360;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;8;;;;;Attack;;;;;
Line Kjaersfeldt;"11;35 (1)";18;5;8;605760;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;8;;;;;Attack;;;;;
Clara Azurmendi;"12;-43 (1)";18;6;5;606160;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;5;;;;;Defence;;;;;
Line Kjaersfeldt;"9;13 (1)";18;7;4;606680;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Construccion;;;;;
Clara Azurmendi;"14;-14 (1)";18;8;1;606680;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Construccion;Winner Line Kjaersfeldt;;;;
Clara Azurmendi;Rest Time (18);18;;;610560;83120;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (19);19;;;693680;5560;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"-2;24 (3)";19;1;6;691680;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Line Kjaersfeldt;Backhand short service;6;;Construccion;;;;;
Clara Azurmendi;"5;-17 (1)";19;2;2;692680;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;2;;;;Modificada/Finta;Construccion;;;;;
Line Kjaersfeldt;"-1;6 (1)";19;3;2;692720;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;2;;;;;Construccion;;;;;
Clara Azurmendi;"-15;-55 (2)";19;4;12;692720;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Defence;;;;;
Line Kjaersfeldt;"-14;55 (3)";19;5;9;694920;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Defence;;;;;
Clara Azurmendi;"8;-17 (1)";19;6;1;696480;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Line Kjaersfeldt;"11;2 (1)";19;7;4;696520;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;NET;;;;;Construccion;Error Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (19);19;;;699240;18640;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (20);20;;;717880;4320;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"1;25 (1)";20;1;7;715880;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Line Kjaersfeldt;Backhand short service;7;;Construccion;;;;;
Clara Azurmendi;"-11;-16 (1)";20;2;4;716920;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;Finta;Construccion;;;;;
Line Kjaersfeldt;"-15;13 (2)";20;3;1;716920;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Clara Azurmendi;"-12;-13 (1)";20;4;4;717880;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Defence;;;;;
Line Kjaersfeldt;"-19;14 (1)";20;5;Out;719280;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;OUT SIDE;;;;;Construccion;Error Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (20);20;;;722200;13320;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (21);21;;;735520;2920;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"-2;25 (1)";21;1;6;733520;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Line Kjaersfeldt;Backhand short service;5;;Construccion;;;;;
Clara Azurmendi;"4;-17 (2)";21;2;2;734560;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;2;;;;;Construccion;;;;;
Line Kjaersfeldt;"11;54 (2)";21;3;12;734560;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Attack;;;;;
Clara Azurmendi;"12;-60 (1)";21;4;9;736440;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;OUT LENGTH;;;;;Construccion;Unforced Line Kjaersfeldt;;;;
Clara Azurmendi;Rest Time (21);21;;;738440;15000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (22);22;;;753440;11000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Clara Azurmendi;"-2;-24 (2)";22;1;7;751440;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Clara Azurmendi;Backhand flick;11;;Construccion;;;;;
Line Kjaersfeldt;"14;55 (3)";22;2;12;752560;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Clara Azurmendi;"-12;-16 (1)";22;3;4;752560;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Construccion;;;;;
Line Kjaersfeldt;"13;55 (2)";22;4;12;752560;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Defence;;;;F;
Clara Azurmendi;"14;-41 (1)";22;5;5;754840;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;5;;;;;Construccion;;;;;
Line Kjaersfeldt;"-14;12 (2)";22;6;1;754840;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Clara Azurmendi;"14;-15 (1)";22;7;1;755880;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Line Kjaersfeldt;"14;55 (4)";22;8;12;757160;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Defence;;;;;
Clara Azurmendi;"-9;-8 (1)";22;9;4;758000;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Construccion;;;;;
Line Kjaersfeldt;"11;10 (1)";22;10;4;758000;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Defence;;;;;
